file_identifier;key;value
2a7e9b9c5eb8590399a3d67851c8ea4f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13563-AVIS-SOC-GLASSDOOR-E13082_P2.html
2a7e9b9c5eb8590399a3d67851c8ea4f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13563-AVIS-SOC-GLASSDOOR-E13082_P2.html
2a7e9b9c5eb8590399a3d67851c8ea4f;file_pattern;*AVIS-SOC*
a226d8e67048f13cca16846374445ad2;file_size;470.42 Ko
a226d8e67048f13cca16846374445ad2;file_name;13564-AVIS-SOC-GLASSDOOR-E4245_P1.html
a226d8e67048f13cca16846374445ad2;import_date;29/04/2023 18:55:05
a226d8e67048f13cca16846374445ad2;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13564-AVIS-SOC-GLASSDOOR-E4245_P1.html
a226d8e67048f13cca16846374445ad2;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13564-AVIS-SOC-GLASSDOOR-E4245_P1.html
a226d8e67048f13cca16846374445ad2;file_pattern;*AVIS-SOC*
ec017a7a36795921608f695e834f302c;file_size;464.16 Ko
ec017a7a36795921608f695e834f302c;file_name;13564-AVIS-SOC-GLASSDOOR-E4245_P2.html
ec017a7a36795921608f695e834f302c;import_date;29/04/2023 18:55:05
ec017a7a36795921608f695e834f302c;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13564-AVIS-SOC-GLASSDOOR-E4245_P2.html
ec017a7a36795921608f695e834f302c;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13564-AVIS-SOC-GLASSDOOR-E4245_P2.html
ec017a7a36795921608f695e834f302c;file_pattern;*AVIS-SOC*
2821a91e229c5c877d45ad35eacd0a81;file_size;297.55 Ko
2821a91e229c5c877d45ad35eacd0a81;file_name;13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html
2821a91e229c5c877d45ad35eacd0a81;import_date;29/04/2023 18:55:05
2821a91e229c5c877d45ad35eacd0a81;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html
2821a91e229c5c877d45ad35eacd0a81;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html
2821a91e229c5c877d45ad35eacd0a81;file_pattern;*AVIS-SOC*
1a6e112c05fcc0432caf8dbfd6dd6c6f;file_size;336.75 Ko
1a6e112c05fcc0432caf8dbfd6dd6c6f;file_name;13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html
1a6e112c05fcc0432caf8dbfd6dd6c6f;import_date;29/04/2023 18:55:05
1a6e112c05fcc0432caf8dbfd6dd6c6f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html
1a6e112c05fcc0432caf8dbfd6dd6c6f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html
1a6e112c05fcc0432caf8dbfd6dd6c6f;file_pattern;*AVIS-SOC*
0d3fe4a98cb4de7546d971eea32662d0;file_size;295.95 Ko
0d3fe4a98cb4de7546d971eea32662d0;file_name;13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html
0d3fe4a98cb4de7546d971eea32662d0;import_date;29/04/2023 18:55:05
0d3fe4a98cb4de7546d971eea32662d0;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html
0d3fe4a98cb4de7546d971eea32662d0;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html
0d3fe4a98cb4de7546d971eea32662d0;file_pattern;*AVIS-SOC*
c424aa32132ef517679f2dd8f481f1b5;file_size;320.58 Ko
c424aa32132ef517679f2dd8f481f1b5;file_name;13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html
c424aa32132ef517679f2dd8f481f1b5;import_date;29/04/2023 18:55:05
c424aa32132ef517679f2dd8f481f1b5;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html
c424aa32132ef517679f2dd8f481f1b5;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html
c424aa32132ef517679f2dd8f481f1b5;file_pattern;*AVIS-SOC*
74ea0acbee0377cb725091cd8e798da4;file_size;279.10 Ko
74ea0acbee0377cb725091cd8e798da4;file_name;13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html
74ea0acbee0377cb725091cd8e798da4;import_date;29/04/2023 18:55:06
74ea0acbee0377cb725091cd8e798da4;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html
74ea0acbee0377cb725091cd8e798da4;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html
74ea0acbee0377cb725091cd8e798da4;file_pattern;*AVIS-SOC*
cb6bdd34d37753c79cb7443c0456418f;file_size;344.17 Ko
